name,releasedate,copiessold,price,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
WWE 2K24,2024-03-07,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690
EARTH DEFENSE FORCE 6,2024-07-25,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060
Sins of a Solar Empire II,2024-08-15,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940
Legend of Mortal,2024-06-14,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910
Shin Megami Tensei V: Vengeance,2024-06-13,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830
Soulmask,2024-05-30,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460
The Universim,2024-01-22,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720
Bellwright,2024-04-23,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450
Night of the Dead,2024-05-31,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380
Empires of the Undergrowth,2024-06-07,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2024-06-13,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430
ANIMAL WELL,2024-05-09,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230
Age of Mythology: Retold,2024-09-04,236419,29.99,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680
STAR WARS™: Battlefront Classic Collection,2024-03-13,185054,35.01,6048340.0,4.360934964168404,0,Indie,Aspyr,Aspyr,2446550
Another Crab's Treasure,2024-04-25,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840
Homeworld 3,2024-05-13,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080
Winter Memories,2024-01-05,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450
Nine Sols,2024-05-28,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540
Outpost: Infinity Siege,2024-03-26,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690
Sker Ritual,2024-04-18,267953,24.99,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070
shapez 2,2024-08-15,261028,24.99,4810868.0,16.307715687349233,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800
Senua’s Saga: Hellblade II,2024-05-21,107010,49.99,4747832.0,5.160077378916766,88,AAA,Xbox Game Studios,Ninja Theory,2461850
Pixel Gun 3D: PC Edition,2024-04-02,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890
Backpack Battles,2024-03-08,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700
Crime Scene Cleaner,2024-08-14,285596,19.99,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200
Kebab Chefs! - Restaurant Simulator,2024-01-19,312189,17.99,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270
Predecessor,2024-08-20,433605,0.0,4523839.944318563,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200
Palia,2024-03-25,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930
"Little Kitty, Big City",2024-05-09,206880,24.99,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980
Secrets of Grindea,2024-02-29,314988,14.99,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770
Chrono Ark,2024-05-02,301197,24.99,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930
